INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,109,6761.56,6998.018,6705.56,9018.909,9027.354,9016.909,2311.3491,27,0,2875.3491,27,0,1258.9091,27,0,88.159,10.489,1.352,33240504,0.777,0.787,0.044,0.888352219
I00699,110,18500.72,18786.152,18442.72,22428.531,22438.374,22426.531,3983.811,28,0,4336.3146,28,0,1869.9643,28,0,84.366,13.812,1.822,298068012,0.706,0.719,0.022,0.852768669
I00699,111,24160.435,24465.993,24102.435,31236.969,31247.506,31234.969,7132.5345,28,0,9611.0725,28,0,3893.7968,28,0,88.551,9.18,2.268,768700800,0.794,0.812,0.016,0.896854072
I00699,112,7900.763,8126.68,7842.763,8841.979,8849.769,8839.979,997.216,28,0,917.2995,28,0,709.5616,28,0,74.738,23.599,1.663,20114408,0.511,0.52,0.065,0.755698801
I00699,113,39699.205,40012.692,39641.205,46933.666,46944.476,46931.666,7290.4607,28,0,8303.3416,28,0,4304.7924,28,0,83.065,14.167,2.768,1561279629,0.689,0.709,0.016,0.844487232
I00699,114,18283.856,18609.13,18225.856,22253.585,22264.802,22251.585,4025.7288,28,0,7725.0949,28,0,4141.9867,28,0,78.336,7.757,13.908,893725632,0.706,0.82,0.004,0.852896147
I00699,115,4497.195,4735.576,4439.195,5022.144,5030.364,5020.144,580.9483,28,0,585.8902,28,0,390.9756,28,0,74.841,18.072,7.087,13552832,0.568,0.611,0.02,0.783844366
I00699,116,8486.665,8769.075,8428.665,9490.462,9500.201,9488.462,1059.7969,28,0,1462.5125,28,0,710.0754,28,0,70.504,15.305,14.191,97229033,0.552,0.643,0.007,0.775995525
I00699,117,30496.374,30634.984,30468.374,30827.422,30837.323,30825.422,357.0475,13,0,1240.8934,13,0,446.0481,13,0,45.038,34.071,20.891,461058858,0.11,0.139,0.005,0.554837344
I00699,118,8878.349,9083.096,8838.349,8972.253,8982.49,8970.253,131.9034,19,0,1243.4112,19,0,295.5281,19,0,4.393,0.857,94.75,136985544,0.035,0.673,0,0.517677526
I00699,119,21117.219,21357.868,21071.219,21323.416,21333.879,21321.416,250.1971,22,0,1415.2215,22,0,421.7272,22,0,27.4,19.402,53.199,458405850,0.08,0.171,0.001,0.539989827
I00699,120,110608.653,110902.972,110550.653,123313.11,123323.259,123311.11,12760.4572,28,0,12132.9562,28,0,10058.5834,28,0,72.948,25.063,1.988,3228457676,0.479,0.489,0.087,0.73942442
I00699,121,20557.035,20863.597,20499.035,28601.81,28612.382,28599.81,8100.7753,28,0,14377.9619,28,0,3729.9903,28,0,91.449,6.495,2.056,710639976,0.85,0.867,0.015,0.924773257
I00699,122,19705.875,20000.879,19647.875,28183.223,28193.395,28181.223,8533.3474,28,0,15501.6952,28,0,4662.3311,28,0,91.502,6.768,1.73,509455856,0.847,0.862,0.023,0.92367242
I00699,123,39109.925,39416.367,39051.925,52813.615,52824.182,52811.615,13759.6903,28,0,18745.8345,28,0,5991.623,28,0,89.409,9.101,1.489,1492623100,0.803,0.815,0.029,0.901539749
I00699,124,35192.23,35450.026,35134.23,39410.593,39419.483,39408.593,4274.3631,28,0,4524.4295,28,0,3631.5735,28,0,73.577,25.373,1.05,304182000,0.482,0.487,0.102,0.74102115
I00699,125,15568.49,15853.674,15510.49,18988.596,18998.43,18986.596,3476.1064,28,0,5222.4705,28,0,2646.3439,28,0,83.351,12.163,4.486,241665648,0.712,0.745,0.018,0.855940729
I00699,126,23819.277,24112.27,23761.277,29391.918,29402.022,29389.918,5628.6413,28,0,6670.4324,28,0,2490.3765,28,0,85.108,12.615,2.278,508076407,0.725,0.742,0.023,0.862464803
I00699,127,10635.237,10920.507,10577.237,14732.658,14742.495,14730.658,4153.4213,28,0,6940.0718,28,0,1763.3886,28,0,90.169,6.33,3.501,178183659,0.838,0.869,0.016,0.919198626
I00699,128,39978.775,40281.439,39920.775,46405.43,46415.867,46403.43,6482.6553,28,0,6618.8702,28,0,4720.1464,28,0,80.546,17.05,2.404,1151541444,0.635,0.651,0.023,0.817478983
I00699,129,25553.658,25853.513,25495.658,31252.317,31262.657,31250.317,5754.6587,28,0,7828.475,28,0,4062.2473,28,0,85.191,12.396,2.413,658595518,0.728,0.746,0.018,0.863973462
I00699,130,45291.166,45598.402,45233.166,55734.177,55744.771,55732.177,10499.0111,28,0,11494.7312,28,0,4111.6637,28,0,84.403,13.417,2.18,1628794905,0.71,0.726,0.027,0.854932262
I00699,131,3311.922,3550.162,3253.922,4275.749,4283.964,4273.749,1019.8269,28,0,1685.7726,28,0,604.267,28,0,88.034,9.946,2.019,11084036,0.781,0.797,0.023,0.890439728
I00699,132,19130.526,19444.11,19072.526,23129.317,23140.13,23127.317,4054.7916,28,0,9263.1097,28,0,4108.7613,28,0,78.801,10.766,10.433,670898118,0.68,0.76,0.007,0.840174573
I00699,133,11815.274,12073.068,11757.274,15156.226,15165.115,15154.226,3396.9512,28,0,5031.3439,28,0,2403.7936,28,0,85.453,12.841,1.705,88794056,0.726,0.739,0.045,0.863059432
I00699,134,32428.13,32727.039,32370.13,36055.689,36065.996,36053.689,3683.5585,28,0,3982.7125,28,0,2641.8032,28,0,76.471,20.451,3.078,764383230,0.56,0.578,0.017,0.780101219
I00699,135,3127.493,3391.384,3069.493,3924.235,3933.334,3922.235,852.7414,28,0,1677.8819,28,0,507.9907,28,0,86.544,8.119,5.337,20279644,0.784,0.828,0.007,0.892123821
I00699,136,3016.935,3261.571,2958.935,4987.07,4995.506,4985.07,2026.1349,28,0,4217.7122,28,0,750.5635,28,0,95.108,3.956,0.936,15883813,0.912,0.92,0.025,0.955762763
I00699,137,14455.705,14730.307,14397.705,17753.786,17763.255,17751.786,3354.0817,28,0,3719.5561,28,0,1474.221,28,0,84.992,13.464,1.544,167650770,0.715,0.726,0.026,0.8576376
I00699,138,26430.25,26759.885,26372.25,35602.869,35614.236,35600.869,9228.6192,28,0,20033.7578,28,0,5383.1092,28,0,89.81,5.922,4.268,1756864736,0.839,0.876,0.007,0.91943897
I00699,139,9166.967,9407.823,9108.967,10522.584,10530.889,10520.584,1411.6166,28,0,1348.218,28,0,687.9307,28,0,77.97,20.727,1.303,36405912,0.572,0.58,0.047,0.786213761
I00699,140,55674.204,56000.142,55616.204,72410.151,72421.39,72408.151,16791.9469,28,0,21050.1091,28,0,9308.2662,28,0,87.34,9.398,3.262,3703951050,0.779,0.806,0.018,0.889707864
