INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,103,17258.5385,17630.8302,17184.5385,19994.9034,20004.9653,19992.9034,2808.3649,36,0,2968.6524,36,0,1694.916,36,0,83.0616,16.8578,0.0806,307928529,0.662,0.6626,0.0136,0.831
I00699,104,5655.4029,6029.1026,5581.4029,7167.2179,7177.3178,7165.2179,1583.8149,36,0,2619.0671,36,0,1071.2043,36,0,91.1842,8.7882,0.0276,93977304,0.824,0.8242,0.0048,0.912
I00699,105,4578.8711,4971.0159,4504.8711,7154.6372,7165.2357,7152.6372,2647.7661,36,0,7645.0572,36,0,1641.7547,36,0,96.8781,3.1134,0.0084,142495588,0.9376,0.9377,0.003,0.9688
I00699,106,2100.732,2560.2041,2030.732,2306.5182,2319.646,2304.5182,273.7863,34,0,3298.5217,34,0,565.911,34,0,78.6807,20.989,0.3303,371447500,0.5769,0.5788,0,0.7885
I00699,107,53369.0143,53776.8652,53295.0143,68571.4005,68582.4235,68569.4005,15274.3862,36,0,20355.3805,36,0,8125.0107,36,0,88.808,11.1578,0.0342,2926271614,0.7765,0.7768,0.0222,0.8883
I00699,108,29299.1473,29675.8433,29225.1473,39423.9095,39434.0904,39421.9095,10196.7622,36,0,13434.2877,36,0,4972.5396,36,0,89.9509,10.0204,0.0287,774082470,0.7993,0.7995,0.0325,0.8997
I00699,109,9495.8909,9820.7169,9421.8909,12149.7233,12158.5024,12147.7233,2725.8324,36,0,3215.3826,36,0,1509.4737,36,0,87.1906,12.7727,0.0367,61988384,0.7442,0.7445,0.04,0.8721
I00699,110,20959.9315,21331.2607,20885.9315,24602.2667,24612.3026,24600.2667,3714.3352,36,0,3871.7468,36,0,1962.8917,36,0,83.5027,16.4322,0.0651,387988832,0.6707,0.6711,0.0183,0.8354
I00699,111,23518.2956,23913.4032,23444.2956,29342.3575,29353.0361,29340.3575,5896.0619,36,0,7531.719,36,0,3382.6425,36,0,88.8503,11.127,0.0227,798599646,0.7772,0.7774,0.0121,0.8886
I00699,112,11242.5333,11543.9745,11168.5333,12432.194,12440.341,12430.194,1261.6607,36,0,1066.8299,36,0,829.0091,36,0,74.087,25.8342,0.0788,40221664,0.4825,0.4829,0.0596,0.7413
I00699,113,66251.2557,66664.6304,66177.2557,74618.6816,74629.8538,74616.6816,8439.4259,36,0,8411.978,36,0,5141.126,36,0,79.7285,20.2061,0.0654,3645014472,0.5952,0.5956,0.0157,0.7976
I00699,114,15053.6088,15467.4259,14979.6088,18415.7279,18426.9121,18413.7279,3434.1191,36,0,6221.6662,36,0,3162.656,36,0,88.5037,11.4773,0.0189,697744260,0.7703,0.7704,0.0038,0.8851
I00699,115,3948.9311,4293.727,3864.9311,4584.6635,4592.873,4582.6635,717.7324,41,0,840.1878,41,0,475.7215,41,0,83.4804,16.4169,0.1027,12018600,0.6706,0.6713,0.0219,0.8353
I00699,116,6050.5725,6451.8094,5966.5725,7968.0135,7977.5667,7966.0135,1999.441,41,0,5871.8261,41,0,1658.9939,41,0,89.0402,10.832,0.1278,67972563,0.7821,0.7831,0.0098,0.891
I00699,117,20532.1421,20791.2126,20480.1421,28094.2573,28104.2215,28092.2573,7612.1152,25,0,18137.483,25,0,6741.7081,25,0,87.3775,12.4247,0.1978,431717760,0.7495,0.751,0.0262,0.8748
I00699,118,7102.9839,7425.524,7040.9839,7731.6442,7742.0487,7729.6442,688.6603,30,0,4088.7662,30,0,1103.3406,30,0,71.4324,28.0968,0.4708,132386208,0.4334,0.4354,0.0019,0.7167
I00699,119,14043.605,14406.9269,13975.605,17015.0239,17025.7099,17013.0239,3037.419,33,0,15142.7383,33,0,4120.8751,33,0,80.5008,19.1794,0.3198,420677555,0.6132,0.6152,0.0049,0.8066
I00699,120,101482.8625,101860.2548,101408.8625,113218.6282,113228.828,113216.6282,11807.7657,36,0,10846.7123,36,0,8814.3654,36,0,74.253,25.5975,0.1495,2989843392,0.4866,0.4873,0.0737,0.7433
I00699,121,19691.6038,20078.6901,19617.6038,26731.2418,26741.7035,26729.2418,7111.6379,36,0,11235.5256,36,0,3308.5253,36,0,92.1026,7.8628,0.0345,600416472,0.8424,0.8427,0.0152,0.9212
I00699,122,17289.5868,17665.4804,17215.5868,23388.5769,23398.7362,23386.5769,6170.99,36,0,10622.569,36,0,3616.6366,36,0,91.3736,8.594,0.0324,401990640,0.8278,0.8281,0.0183,0.9139
I00699,123,53311.3454,53705.2029,53237.3454,67287.5675,67298.2123,67285.5675,14048.222,36,0,16208.7031,36,0,6597.9386,36,0,86.7903,13.1609,0.0488,2136523704,0.7363,0.7367,0.0327,0.8681
I00699,124,57917.0438,58263.4828,57843.0438,62737.7843,62747.1475,62735.7843,4892.7405,36,0,4799.4352,36,0,4002.9534,36,0,70.5896,29.351,0.0594,775452720,0.4124,0.4126,0.0863,0.7062
I00699,125,14469.8798,14827.8747,14395.8798,17478.8351,17488.5106,17476.8351,3080.9553,36,0,4498.9373,36,0,2399.0808,36,0,85.0125,14.9546,0.0329,193014016,0.7006,0.7008,0.0195,0.8503
I00699,126,24274.499,24646.1076,24200.499,28745.8849,28755.9283,28743.8849,4543.3859,36,0,4603.1312,36,0,1957.7941,36,0,83.5517,16.3717,0.0766,472068312,0.6718,0.6723,0.022,0.8359
I00699,127,11259.4983,11626.2221,11185.4983,15201.3503,15211.2618,15199.3503,4013.852,36,0,6144.6334,36,0,1719.432,36,0,91.8199,8.1445,0.0357,196351890,0.8368,0.8371,0.0148,0.9184
I00699,128,44062.3052,44451.9182,43988.3052,49976.0037,49986.5338,49974.0037,5985.6985,36,0,5917.8925,36,0,4276.6174,36,0,79.9066,20.0499,0.0435,1355527680,0.5986,0.5988,0.0212,0.7993
I00699,129,28668.0115,29056.4147,28594.0115,35142.4941,35152.9915,35140.4941,6546.4826,36,0,9093.4456,36,0,4503.8583,36,0,86.6293,13.3452,0.0255,859515635,0.7328,0.733,0.0176,0.8664
I00699,130,48204.147,48594.114,48130.147,56080.0578,56090.5975,56078.0578,7947.9108,36,0,7462.2185,36,0,3299.2039,36,0,81.1613,18.7583,0.0804,1573886104,0.624,0.6245,0.0252,0.812
I00699,131,2983.626,3287.5203,2909.626,3780.9798,3789.1931,3778.9798,869.3538,36,0,1423.1787,36,0,553.2703,36,0,89.038,10.9426,0.0194,9526494,0.781,0.7811,0.02,0.8905
I00699,132,21604.134,22003.3808,21530.134,25585.5806,25596.3711,25583.5806,4053.4466,36,0,8038.5475,36,0,4003.9648,36,0,84.1823,15.7851,0.0325,742282295,0.684,0.6842,0.0079,0.842
I00699,133,13782.9989,14118.5817,13708.9989,16397.1244,16406.1942,16395.1244,2686.1255,36,0,3553.9677,36,0,2063.9102,36,0,82.4096,17.5605,0.03,112143582,0.6485,0.6487,0.0353,0.8242
I00699,134,17917.836,18293.7681,17843.836,19920.6346,19930.7949,19918.6346,2074.7986,36,0,2236.7115,36,0,1366.046,36,0,79.495,20.4449,0.06,331474806,0.5905,0.5909,0.0107,0.7953
I00699,135,3390.2342,3735.8094,3316.2342,4139.6451,4148.985,4137.6451,821.4109,36,0,1639.9302,36,0,557.1571,36,0,89.4058,10.568,0.0262,26311630,0.7884,0.7886,0.0059,0.8942
I00699,136,1694.0468,2009.9969,1620.0468,2704.7639,2713.3031,2702.7639,1082.717,36,0,2869.9992,36,0,357.1348,36,0,96.8897,3.1021,0.0082,8260340,0.9379,0.938,0.0109,0.9689
I00699,137,10596.6013,10946.5428,10522.6013,13043.3085,13052.7663,13041.3085,2518.7072,36,0,2928.1848,36,0,1053.7321,36,0,86.8738,13.0971,0.029,113977280,0.7378,0.738,0.0188,0.8689
I00699,138,17704.6931,18127.3832,17630.6931,23425.4917,23436.9157,23423.4917,5792.7986,36,0,12963.3799,36,0,3537.176,36,0,93.2418,6.7443,0.0139,1128272873,0.865,0.8651,0.0043,0.9325
I00699,139,7502.3096,7811.3955,7428.3096,8868.4378,8876.7915,8866.4378,1438.1282,36,0,1475.1756,36,0,713.0435,36,0,82.1431,17.7964,0.0605,30401371,0.6435,0.6439,0.0398,0.8217
I00699,140,58674.816,59093.8833,58600.816,76313.2849,76324.611,76311.2849,17710.4689,36,0,22527.4147,36,0,9363.5304,36,0,89.6028,10.37,0.0273,4227115050,0.7923,0.7925,0.0178,0.8962
I00699,141,2925.7985,3272.4526,2867.7985,3777.3979,3789.3515,3775.3979,907.5994,28,0,96860.1061,28,0,2084.598,28,0,79.4363,20.0908,0.4729,223835430,0.5935,0.5963,0.0002,0.7967
I00699,142,22762.1375,23089.1795,22688.1375,28279.6635,28288.5024,28277.6635,5589.526,36,0,5852.939,36,0,4024.1342,36,0,82.3952,17.5821,0.0227,189979080,0.6481,0.6483,0.0948,0.8241
