INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",1005,73,376,243,156,142,15,7.2637,37.4129,24.1791,15.5224,14.1294,1.4925
I00743,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",2635,930,511,362,443,355,34,35.2941,19.3928,13.7381,16.8121,13.4725,1.2903
I00743,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",1548,23,503,270,346,398,8,1.4858,32.4935,17.4419,22.3514,25.7106,0.5168
I00743,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1723,202,571,617,292,*,*,11.7237,33.1399,35.8096,16.9472,*,*
I00743,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1481,589,371,237,211,*,*,39.7704,25.0506,16.0027,14.2471,*,*
I00743,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",2020,178,401,467,401,559,14,8.8119,19.8515,23.1188,19.8515,27.6733,0.6931
I00743,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",2566,973,523,406,432,206,26,37.9189,20.3819,15.8223,16.8355,8.0281,1.0133
I00743,RKE,"THE WHITTINGTON HEALTH NHS TRUST",554,227,196,74,*,*,11,40.9747,35.3791,13.3574,*,*,1.9856
I00743,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1808,200,587,528,392,95,6,11.0619,32.4668,29.2035,21.6814,5.2544,0.3319
I00743,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",3689,567,820,932,860,494,16,15.3700,22.2282,25.2643,23.3126,13.3912,0.4337
I00743,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",1176,379,343,195,123,85,51,32.2279,29.1667,16.5816,10.4592,7.2279,4.3367
I00743,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",2964,304,487,706,650,795,22,10.2564,16.4305,23.8192,21.9298,26.8219,0.7422
I00743,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",2745,1038,641,637,259,139,31,37.8142,23.3515,23.2058,9.4353,5.0638,1.1293
I00743,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1674,328,393,268,348,300,37,19.5938,23.4767,16.0096,20.7885,17.9211,2.2103
I00743,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",2869,585,673,611,562,419,19,20.3904,23.4577,21.2966,19.5887,14.6044,0.6623
I00743,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",4537,721,898,810,974,1059,75,15.8916,19.7928,17.8532,21.4679,23.3414,1.6531
I00743,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",1888,310,336,467,498,262,15,16.4195,17.7966,24.7352,26.3771,13.8771,0.7945
I00743,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",4371,1031,935,886,970,487,62,23.5873,21.3910,20.2700,22.1917,11.1416,1.4184
I00743,RBK,"WALSALL HEALTHCARE NHS TRUST",1652,721,404,219,193,*,*,43.6441,24.4552,13.2567,11.6828,*,*
I00743,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",1483,434,203,182,373,284,7,29.2650,13.6885,12.2724,25.1517,19.1504,0.4720
I00743,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",2057,8,247,490,400,895,17,0.3889,12.0078,23.8211,19.4458,43.5100,0.8264
I00743,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",1441,*,175,412,605,228,*,*,12.1443,28.5913,41.9847,15.8223,*
I00743,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",3166,*,555,1061,820,510,*,*,17.5300,33.5123,25.9002,16.1087,*
I00743,RA3,"WESTON AREA HEALTH NHS TRUST",961,186,159,218,266,*,*,19.3548,16.5453,22.6847,27.6795,*,*
I00743,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",2285,690,448,339,394,391,23,30.1969,19.6061,14.8359,17.2429,17.1116,1.0066
I00743,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",2838,*,355,746,894,537,*,*,12.5088,26.2861,31.5011,18.9218,*
I00743,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1883,668,528,225,288,*,*,35.4753,28.0404,11.9490,15.2947,*,*
I00743,RLQ,"WYE VALLEY NHS TRUST",1291,71,117,591,327,38,147,5.4996,9.0627,45.7785,25.3292,2.9435,11.3865
I00743,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",1054,23,85,342,469,135,0,2.1822,8.0645,32.4478,44.4972,12.8083,0.0000
I00743,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",3180,*,520,706,759,812,*,*,16.3522,22.2013,23.8679,25.5346,*
